institution_name,institution_name_english,pretty_url,country,part_of,institution_type,institution_website,institution_wikidata,first_open_access_instance,first_open_access_instance_citation,open_access_scope,open_access_policy,tk_tce_policy,rights_statement_compliance,rights_statement_metadata,rights_statement_metadata_url,admission_policy,institution_api,institution_github,open_data_volume_total,open_data_volume_name0,open_data_volume_number0,open_data_volume_url0,open_data_volume_name1,open_data_volume_number1,open_data_volume_url1,open_data_volume_name2,open_data_volume_number2,open_data_volume_url2,open_data_volume_name3,open_data_volume_number3,open_data_volume_url3,open_data_volume_name4,open_data_volume_number4,open_data_volume_url4,open_data_volume_name5,open_data_volume_number5,open_data_volume_url5
Bibliothèque nationale de Luxembourg,National Library of Luxembourg,https://survey.glamelab.org/institutions/bibliotheque-nationale-de-luxembourg,Luxembourg,,Library,https://www.bnl.public.lu,https://www.wikidata.org/wiki/Q856651,,,Some eligible data,https://eluxemburgensia.lu/en/copyrights,,Public domain,Public Domain Mark,https://eluxemburgensia.lu/en/copyrights,None,https://data.bnl.lu/apis,https://github.com/natliblux,3000,Own website,3000,https://data.bnl.lu/data,,,,,,,,,,,,,,,
Hunt Museum,Hunt Museum,https://survey.glamelab.org/institutions/hunt-museum,Ireland,,Museum,https://www.huntmuseum.com,https://www.wikidata.org/wiki/Q2659085,,,All eligible data,https://www.huntmuseum.com/terms-conditions/,,Public domain,CC BY-SA,https://www.huntmuseum.com/terms-conditions/,Paid,,,3061,Own website,2571,https://www.huntmuseum.com/the-collection,Europeana,490,https://www.europeana.eu/en/search?page=1&qf=DATA_PROVIDER%3A%22The%20Hunt%20Museum%22&query=,,,,,,,,,,,,
Museumsdorf Cloppenburg – Niedersächsisches Freilichtmuseum,Museumsdorf Cloppenburg - Lower Saxony Open Air Museum,https://survey.glamelab.org/institutions/museumsdorf-cloppenburg-niedersaechsisches-freilichtmuseum,Germany,,Museum,https://www.museumsdorf.de,https://www.wikidata.org/wiki/Q605210,,,Some eligible data,,,Open,CC0,https://commons.wikimedia.org/wiki/Category:Museumsdorf_Cloppenburg,Paid,,,48,Wikimedia Commons,48,https://commons.wikimedia.org/wiki/Category:Museumsdorf_Cloppenburg,,,,,,,,,,,,,,,
Leibniz-Institut für Astrophysik Potsdam (AIP),Leibniz Institute for Astrophysics Potsdam (AIP),https://survey.glamelab.org/institutions/leibniz-institut-fuer-astrophysik-potsdam-aip,Germany,,University,https://www.aip.de,https://www.wikidata.org/wiki/Q662864,,,Some eligible data,https://www.plate-archive.org/applause/project/disclaimer,,Public domain,CC0,https://www.plate-archive.org/applause/project/disclaimer,None,,,85000,Own website,85000,https://www.plate-archive.org/applause,,,,,,,,,,,,,,,
Université de Lorraine,University of Lorraine,https://survey.glamelab.org/institutions/universite-de-lorraine,France,,University,https://www.univ-lorraine.fr,https://www.wikidata.org/wiki/Q4173330,,,All eligible data,https://pulsar.univ-lorraine.fr/s/pulsar/page/mentions-legales,,Open,Licence Ouverte,https://pulsar.univ-lorraine.fr/s/pulsar/page/mentions-legales,None,,,1072,Own website,1072,https://pulsar-bu.univ-lorraine.fr,,,,,,,,,,,,,,,
Musée des Augustins,Augustins Museum,https://survey.glamelab.org/institutions/musee-des-augustins,France,,Museum,https://www.augustins.org,https://www.wikidata.org/wiki/Q2711480,,,Some eligible data,https://www.archives.toulouse.fr/documents/10184/304419/2017-06-23_Deliberation_17-0360_signee.pdf/d38aad4b-d328-4c9a-931f-d7a175fc9bd0,,Open,ODbL,https://www.archives.toulouse.fr/documents/10184/304419/2017-06-23_Deliberation_17-0360_signee.pdf/d38aad4b-d328-4c9a-931f-d7a175fc9bd0,Temporarily closed,,,936,Wikimedia Commons,936,https://commons.wikimedia.org/wiki/Category:Media_contributed_by_the_Mus%C3%A9e_des_Augustins_de_Toulouse,,,,,,,,,,,,,,,
Musée d'art et d'histoire de Saint-Brieuc,Museum of Art and History of Saint-Brieuc,https://survey.glamelab.org/institutions/musee-dart-et-dhistoire-de-saint-brieuc,France,,Museum,https://www.saint-brieuc.fr/ville-dynamique/equipements-culturels/musee-dart-et-dhistoire,https://www.wikidata.org/wiki/Q3329624,,,Some eligible data,,,Open,ODbL,https://datarmor.cotesdarmor.fr/pages/mentions-legales,Free,https://datarmor.cotesdarmor.fr/,,48,Wikimedia Commons,48,https://commons.wikimedia.org/wiki/Category:Collections_of_the_Mus%C3%A9e_d%27art_et_d%27histoire_de_Saint-Brieuc,,,,,,,,,,,,,,,
Bibliothèque virtuelle sur les premiers socialismes,Virtual Library on Early Socialisms,https://survey.glamelab.org/institutions/bibliotheque-virtuelle-sur-les-premiers-socialismes,France,,Library,https://premierssocialismes.edel.univ-poitiers.fr/,https://www.wikidata.org/wiki/Q121266078,,,Some eligible data,,,Public domain,Licence Ouverte,https://premierssocialismes.edel.univ-poitiers.fr/credits,None,,,177,Europeana,177,https://www.europeana.eu/en/collections/organisation/4084-virtual-library-on-the-first-socialisms?page=1&reusability=open,,,,,,,,,,,,,,,
Bibliothèque municipale de Lyon,Municipal Library of Lyon,https://survey.glamelab.org/institutions/bibliotheque-municipale-de-lyon,France,,Library,https://www.bm-lyon.fr,https://www.wikidata.org/wiki/Q8622,,,Some eligible data,,,Public domain,CC0,https://numelyo.bm-lyon.fr/conditions_utilisation,None,,,30000,Own website,30000,https://numelyo.bm-lyon.fr,,,,,,,,,,,,,,,
Archives municipales de Toulouse,Municipal Archives of Toulouse,https://survey.glamelab.org/institutions/archives-municipales-de-toulouse,France,,Archive,https://www.archives.toulouse.fr,https://www.wikidata.org/wiki/Q2860540,,,Some eligible data,https://www.archives.toulouse.fr/nous-connaitre/reutilisation-des-donnees-publiques-oeuvres-et-bases-de-donnees,,Public domain,ODbL,https://www.archives-lyon.fr/pages/donnees-ouvertes,None,,,27385,Own website,26731,https://basededonnees.archives.toulouse.fr/4DCGI/Web_Script_Lit_Requete/34_431/ILUMP5149,Flickr,654,https://www.flickr.com/photos/archives-toulouse/sets/,,,,,,,,,,,,
