institution_name,institution_name_english,pretty_url,country,part_of,institution_type,institution_website,institution_wikidata,first_open_access_instance,first_open_access_instance_citation,open_access_scope,open_access_policy,tk_tce_policy,rights_statement_compliance,rights_statement_metadata,rights_statement_metadata_url,admission_policy,institution_api,institution_github,open_data_volume_name0,open_data_volume_number0,open_data_volume_url0,open_data_volume_name1,open_data_volume_number1,open_data_volume_url1,open_data_volume_name2,open_data_volume_number2,open_data_volume_url2,open_data_volume_name3,open_data_volume_number3,open_data_volume_url3,open_data_volume_name4,open_data_volume_number4,open_data_volume_url4,open_data_volume_name5,open_data_volume_number5,open_data_volume_url5
Museum of Transport and Technology (MOTAT),Museum of Transport and Technology (MOTAT),https://survey.glamelab.org/institutions/museum-of-transport-and-technology-motat,New Zealand,,Museum,https://www.motat.org.nz,https://www.wikidata.org/wiki/Q1954764,2019,https://web.archive.org/web/20220125090210/https://twitter.com/MOTAT_NZ/status/1204863296995831812?s=20,Some eligible data,https://collection.motat.org.nz/resources/terms-of-use,,Disclaimer,None,,Paid,,,Own website,"5,377",https://collection.motat.nz/objects?facet=current_rights%3ANo+Known+Copyright+Restrictions,,,,,,,,,,,,,,,
Te Papa Tongarewa Museum of New Zealand ,Te Papa Tongarewa Museum of New Zealand ,https://survey.glamelab.org/institutions/te-papa-tongarewa-museum-of-new-zealand,New Zealand,,Museum,https://www.tepapa.govt.nz,https://www.wikidata.org/wiki/Q915603,2014,https://web.archive.org/web/2021*/https://www.tepapa.govt.nz/about/press-and-media/press-releases/2014-news-and-media-releases/free-access-30000-high-resolution,All eligible data,https://www.tepapa.govt.nz/about/media-sales-and-licensing/license-images,,Disclaimer,CC BY,https://www.tepapa.govt.nz/assets/76067/1693184837-collections_api_terms_of_use.pdf,Free,https://data.tepapa.govt.nz/docs,https://github.com/te-papa,Own website,"63,836",https://collections.tepapa.govt.nz/search/*/results,,,,,,,,,,,,,,,
Nasjonalmuseet,National Museum,https://survey.glamelab.org/institutions/nasjonalmuseet,Norway,,Museum,https://www.nasjonalmuseet.no,https://www.wikidata.org/wiki/Q1132918,2020,https://web.archive.org/web/20220125090614/https://twitter.com/nasjonalmuseet/status/1349678803220619266?s=20,All eligible data,https://www.nasjonalmuseet.no/en/collection/about-the-collection/about-copyright,,Open,None,,Paid,,,Own website,"34,000",https://www.nasjonalmuseet.no/en/collection,,,,,,,,,,,,,,,
Akademia Sztuk Pięknych im. Jana Matejki w Krakowie,Jan Matejko Academy of Fine Arts in Kraków,https://survey.glamelab.org/institutions/akademia-sztuk-pieknych-im-jana-matejki-w-krakowie,Poland,,University,https://www.asp.krakow.pl,https://www.wikidata.org/wiki/Q414034,2021,https://web.archive.org/web/2021*/https://sketchfab.com/blogs/community/1000-new-cultural-heritage-3d-models-dedicated-to-the-public-domain/,Some eligible data,,,Public domain,None,,None,,,Sketchfab,35,https://skfb.ly/oOJVw,,,,,,,,,,,,,,,
Centrum Żydowskie w Oświęcimiu,Auschwitz Jewish Center,https://survey.glamelab.org/institutions/centrum-zydowskie-w-oswiecimiu,Poland,,Museum,https://ajcf.pl,https://www.wikidata.org/wiki/Q9186556,2021,https://web.archive.org/web/2021*/https://sketchfab.com/blogs/community/1000-new-cultural-heritage-3d-models-dedicated-to-the-public-domain/,Some eligible data,,,Open,None,,Paid,,,Sketchfab,50,https://skfb.ly/oOJSC,,,,,,,,,,,,,,,
Dąbrowski Dom Kultury,Dąbrowa Cultural Center,https://survey.glamelab.org/institutions/dabrowski-dom-kultury,Poland,,Visitor attraction,https://www.ddkdabrowa.pl,https://www.wikidata.org/wiki/Q64681918,2021,https://web.archive.org/web/2021*/https://sketchfab.com/blogs/community/1000-new-cultural-heritage-3d-models-dedicated-to-the-public-domain/,Some eligible data,,,Public domain,None,,None,,,Sketchfab,2,https://skfb.ly/oOJWH,,,,,,,,,,,,,,,
Dom Grecki w Myślenicach,Greek House  - Museum of Independence in Myślenice,https://survey.glamelab.org/institutions/dom-grecki-w-myslenicach,Poland,,Museum,https://muzeum.myslenice.pl,https://www.wikidata.org/wiki/Q16580092,2021,https://web.archive.org/web/2021*/https://sketchfab.com/blogs/community/1000-new-cultural-heritage-3d-models-dedicated-to-the-public-domain/,Some eligible data,,,Public domain,None,,Free,,,Sketchfab,5,https://skfb.ly/oOJYI,,,,,,,,,,,,,,,
Fundacja Zbiorów Rodziny Sosenków,Sosenko Family Foundation,https://survey.glamelab.org/institutions/fundacja-zbiorow-rodziny-sosenkow,Poland,,Research institution,https://muzeumzabawekrakow.pl/kontakt/,https://www.wikidata.org/wiki/Q121266161,2021,https://web.archive.org/web/2021*/https://sketchfab.com/blogs/community/1000-new-cultural-heritage-3d-models-dedicated-to-the-public-domain/,Some eligible data,,,Public domain,None,,None,,,Sketchfab,61,https://skfb.ly/oOJUG,,,,,,,,,,,,,,,
Instytut Nauk Geologicznych Polskiej Akademii Nauk,"Geological Museum, Institute of Geological Sciences, Polish Academy of Sciences",https://survey.glamelab.org/institutions/instytut-nauk-geologicznych-polskiej-akademii-nauk,Poland,,Research institution,https://www.ing.pan.pl,https://www.wikidata.org/wiki/Q30290047,2021,https://web.archive.org/web/2021*/https://sketchfab.com/blogs/community/1000-new-cultural-heritage-3d-models-dedicated-to-the-public-domain/,Some eligible data,,,Public domain,None,,None,,,Sketchfab,24,https://skfb.ly/oOJZD,,,,,,,,,,,,,,,
Katedra Wawelska,Wawel Royal Cathedral,https://survey.glamelab.org/institutions/katedra-wawelska,Poland,,Visitor attraction,https://www.katedra-wawelska.pl,https://www.wikidata.org/wiki/Q638519,2021,https://web.archive.org/web/2021*/https://sketchfab.com/blogs/community/1000-new-cultural-heritage-3d-models-dedicated-to-the-public-domain/,Some eligible data,https://muzea.malopolska.pl/en/objects-list/1054,,Open,None,,None,,,Sketchfab,8,https://skfb.ly/oOJSu,,,,,,,,,,,,,,,
Marcin Mikuła Blacksmiths Museum,Marcin Mikuła Locksmithing Museum,https://survey.glamelab.org/institutions/marcin-mikula-blacksmiths-museum,Poland,,Museum,https://muzeumslusarstwa.pl/,https://www.wikidata.org/wiki/Q121266119,2021,https://web.archive.org/web/2021*/https://sketchfab.com/blogs/community/1000-new-cultural-heritage-3d-models-dedicated-to-the-public-domain/,Some eligible data,,,Open,None,,Information needed,,,Sketchfab,7,https://skfb.ly/oOJXw,,,,,,,,,,,,,,,
Mazowiecka Biblioteka Cyfrowa,Mazovian Digital Library,https://survey.glamelab.org/institutions/mazowiecka-biblioteka-cyfrowa,Poland,,Library,https://mbc.cyfrowemazowsze.pl,https://www.wikidata.org/wiki/Q16575658,2021,https://web.archive.org/web/2021*/https://sketchfab.com/blogs/community/1000-new-cultural-heritage-3d-models-dedicated-to-the-public-domain/,Some eligible data,,,Public domain,None,,None,,,Europeana,"46,284",https://www.europeana.eu/collections/organisation/1482250000004509122-mazowsze-digital-library?page=1&reusability=open,,,,,,,,,,,,,,,
Muzeum Afrykanistyczne Olkusz,Olkusz African Studies Museum,https://survey.glamelab.org/institutions/muzeum-afrykanistyczne-olkusz,Poland,,Museum,https://www.mok.olkusz.pl/index.php/muzea/29-muzeum-afrykanistyczne,https://www.wikidata.org/wiki/Q11786895,2021,https://web.archive.org/web/2021*/https://sketchfab.com/blogs/community/1000-new-cultural-heritage-3d-models-dedicated-to-the-public-domain/,Some eligible data,,,Public domain,None,,Information needed,,,Sketchfab,23,https://skfb.ly/oOJUC,,,,,,,,,,,,,,,
Muzeum Archeologiczne w Krakowie,Archaeological Museum in Kraków,https://survey.glamelab.org/institutions/muzeum-archeologiczne-w-krakowie,Poland,,Museum,https://ma.krakow.pl,https://www.wikidata.org/wiki/Q3329434,2021,https://web.archive.org/web/2021*/https://sketchfab.com/blogs/community/1000-new-cultural-heritage-3d-models-dedicated-to-the-public-domain/,Some eligible data,,,Public domain,None,,Paid,,,Sketchfab,169,https://skfb.ly/oOJUF,,,,,,,,,,,,,,,
Muzeum Archidiecezjalne w Krakowie,Cardinal Karol Wojtyła Archdiocesan Museum in Kraków,https://survey.glamelab.org/institutions/muzeum-archidiecezjalne-w-krakowie,Poland,,Museum,https://archimuzeum.pl,https://www.wikidata.org/wiki/Q6944406,2021,https://web.archive.org/web/2021*/https://sketchfab.com/blogs/community/1000-new-cultural-heritage-3d-models-dedicated-to-the-public-domain/,Some eligible data,,,Public domain,None,,Paid,,,Sketchfab,3,https://skfb.ly/oOJXF,,,,,,,,,,,,,,,
Muzeum Armii Krajowej w Krakowie,Home Army Museum in Kraków,https://survey.glamelab.org/institutions/muzeum-armii-krajowej-w-krakowie,Poland,,Museum,https://muzeum-ak.pl,https://www.wikidata.org/wiki/Q4793410,2021,https://web.archive.org/web/2021*/https://sketchfab.com/blogs/community/1000-new-cultural-heritage-3d-models-dedicated-to-the-public-domain/,Some eligible data,,,Public domain,None,,Paid,,,Sketchfab,4,https://skfb.ly/oOJTG,,,,,,,,,,,,,,,
Muzeum Benedyktynów w Tyńcu,Benedictine Abbey Museum in Tyniec,https://survey.glamelab.org/institutions/muzeum-benedyktynow-w-tyncu,Poland,,Museum,https://kultura.benedyktyni.com/muzeum,https://www.wikidata.org/wiki/Q334336,2021,https://web.archive.org/web/2021*/https://sketchfab.com/blogs/community/1000-new-cultural-heritage-3d-models-dedicated-to-the-public-domain/,Some eligible data,,,Public domain,None,,Paid,,,Sketchfab,49,https://skfb.ly/oOJTL,,,,,,,,,,,,,,,
Muzeum Farmacji Collegium Medicum Uniwersytetu Jagiellońskiego,Pharmacy Museum of the Jagiellonian University Medical College,https://survey.glamelab.org/institutions/muzeum-farmacji-collegium-medicum-uniwersytetu-jagiellonskiego,Poland,,Museum,https://muzeumfarmacji.uj.edu.pl/pl/,https://www.wikidata.org/wiki/Q11786965,2021,https://web.archive.org/web/2021*/https://sketchfab.com/blogs/community/1000-new-cultural-heritage-3d-models-dedicated-to-the-public-domain/,Some eligible data,,,Public domain,None,,Free,,,Sketchfab,85,https://skfb.ly/oOJTP,,,,,,,,,,,,,,,
